City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
563,Siniscola,IT,40.5719,9.6922,53.15,77,0,7.58,clear sky
564,Nayoro,JP,44.3506,142.4578,29.34,89,45,2.66,scattered clouds
565,Khuzhir,RU,53.1939,107.3397,10.4,81,59,4.12,broken clouds
566,Navalmoral De La Mata,ES,39.8916,-5.5406,50.95,82,1,0.63,clear sky
567,Shimoda,JP,34.6667,138.95,52.16,58,50,11.79,scattered clouds
568,Terra Santa,BR,-2.1042,-56.4869,72.39,98,100,2.33,overcast clouds
569,Beipiao,CN,41.7919,120.7792,12.76,46,0,4.41,clear sky
570,The Pas,CA,53.8251,-101.2541,-0.38,71,100,6.91,overcast clouds
571,Seka,TH,17.9285,103.9552,67.41,72,67,2.13,broken clouds
572,Kalmunai,LK,7.4167,81.8167,75.52,88,5,1.52,clear sky
573,Staunton,US,38.1496,-79.0717,31.17,76,0,3.44,clear sky
574,Esfarayen,IR,37.0765,57.5101,29.86,76,98,3.31,overcast clouds
575,Tyret Pervaya,RU,53.6703,102.3106,-4.83,99,100,3.58,overcast clouds
576,Jiupu,CN,41.0667,122.95,13.42,45,1,1.99,clear sky
577,Morondava,MG,-20.2833,44.2833,77.49,73,1,3.04,clear sky
578,Koslan,RU,63.4564,48.8989,-3.12,98,96,4.61,overcast clouds
579,Arlit,NE,18.7369,7.3853,63.07,27,16,5.64,few clouds
580,Gushikawa,JP,26.3544,127.8686,65.43,79,0,6.91,clear sky
581,San Isidro,PE,-12.1167,-77.05,75.02,75,75,16.11,broken clouds
582,Ambilobe,MG,-13.2,49.05,73.49,92,68,2.77,light rain
583,Samarai,PG,-10.6167,150.6667,78.75,89,100,11.34,moderate rain
584,Panzhihua,CN,26.5851,101.7128,44.37,90,100,6.13,overcast clouds
585,Changji,CN,44.0167,87.3167,-3.21,84,65,2.24,mist
586,Hvide Sande,DK,56.0045,8.1294,44.42,94,100,29.97,moderate rain
587,Kushima,JP,31.4583,131.2333,50.74,62,94,6.71,overcast clouds
588,Antofagasta,CL,-23.65,-70.4,67.28,80,24,5.32,few clouds
589,Kano,NG,12.0001,8.5167,53.49,58,0,3.44,clear sky
590,Vaitape,PF,-16.5167,-151.75,81.3,73,100,12.33,overcast clouds
591,Qaqortoq,GL,60.7167,-46.0333,13.95,87,95,6.4,overcast clouds
592,Maumere,ID,-8.6199,122.2111,82.9,72,100,3.0,overcast clouds
593,Camacha,PT,33.0833,-16.3333,62.02,88,20,8.05,few clouds
594,Sao Filipe,CV,14.8961,-24.4956,71.01,59,54,9.1,broken clouds
595,Erenhot,CN,43.6475,111.9767,5.79,60,0,7.02,clear sky
596,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.4,99,100,1.9,overcast clouds
597,Rongcheng,CN,30.634,117.8517,38.21,97,100,2.3,overcast clouds
598,Niquelandia,BR,-14.4739,-48.4597,69.84,86,100,2.26,overcast clouds
599,Diffa,NE,13.3154,12.6113,63.27,45,0,10.98,clear sky
600,Pouebo,NC,-20.4,164.5667,77.38,90,100,9.62,overcast clouds
601,Temiscaming,CA,46.7212,-79.0971,22.51,86,100,3.44,light snow
602,Smirnykh,RU,49.75,142.8333,15.1,90,98,1.36,overcast clouds
603,Srednekolymsk,RU,67.45,153.6833,-22.79,99,100,6.71,overcast clouds
604,Borisovka,RU,50.6236,35.9903,33.94,93,100,17.11,overcast clouds
605,Ballina,AU,-28.8667,153.5667,72.01,94,17,9.91,few clouds
606,Tomari,RU,47.7658,142.0683,27.97,80,100,3.94,overcast clouds
607,Manoel Urbano,BR,-8.8389,-69.2597,75.99,71,95,1.86,overcast clouds
608,Luohe,CN,33.5717,114.0353,33.19,49,99,1.92,overcast clouds
609,Mecca,SA,21.4267,39.8261,63.82,62,0,7.61,clear sky
610,Ambanja,MG,-13.6833,48.45,73.63,94,97,2.04,light rain
611,Zaltan,LY,32.947,11.8665,61.38,42,0,6.02,clear sky
612,Amapa,BR,1.0,-52.0,71.04,97,100,0.45,light rain
613,Galesong,ID,-5.3166,119.3661,75.22,79,100,5.88,overcast clouds
614,Sinnamary,GF,5.3833,-52.95,76.15,88,58,9.78,broken clouds
615,Eregli,TR,37.5133,34.0467,34.86,53,6,2.44,clear sky
616,Havelock,US,34.8791,-76.9013,44.55,51,20,1.01,few clouds
617,Sioux Lookout,CA,50.1001,-91.917,12.27,85,100,3.44,overcast clouds
618,Gamba,GA,-2.65,10.0,77.32,89,97,3.42,overcast clouds
619,Puerto Asis,CO,0.5133,-76.5007,73.94,63,0,1.16,clear sky
620,Phanat Nikhom,TH,13.4458,101.1844,76.51,75,2,3.47,clear sky
621,Ahuimanu,US,21.4447,-157.8378,83.34,59,40,11.5,scattered clouds
622,Samarinda,ID,-0.5,117.15,82.42,67,100,1.83,overcast clouds
623,Mocuba,MZ,-16.8392,36.9856,70.36,99,48,2.39,scattered clouds
624,Novopokrovka,UA,49.8425,36.5477,36.95,95,100,14.81,overcast clouds
625,Luderitz,NA,-26.6481,15.1594,62.38,70,0,17.13,clear sky
626,Chibombo,ZM,-14.6569,28.0706,61.81,72,100,5.66,overcast clouds
627,Eyl,SO,7.9803,49.8164,70.56,81,37,8.79,scattered clouds
628,Grand Gaube,MU,-20.0064,57.6608,77.4,69,4,7.0,clear sky
629,Merauke,ID,-8.4667,140.3333,78.49,89,100,13.58,heavy intensity rain
630,Greystones,IE,53.1408,-6.0631,46.29,87,100,12.37,overcast clouds
631,Satipo,PE,-11.2522,-74.6386,72.45,80,29,2.44,scattered clouds
632,Launceston,AU,-41.45,147.1667,73.04,82,100,25.32,moderate rain
633,Khandyga,RU,62.6667,135.6,-39.68,100,98,1.92,overcast clouds
634,Caucaia,BR,-3.7361,-38.6531,81.03,76,0,10.36,clear sky
635,Ampanihy,MG,-24.7,44.75,73.53,87,0,1.88,clear sky
636,San Javier,ES,37.8063,-0.8374,54.99,83,100,4.0,overcast clouds
637,Rosetta,EG,31.4044,30.4164,58.17,67,0,2.98,clear sky
638,Atagay,RU,55.1033,99.3875,9.07,94,100,3.58,overcast clouds
639,Vigrestad,NO,58.5667,5.7,37.08,86,100,23.26,overcast clouds
640,Lorengau,PG,-2.0226,147.2712,83.5,72,100,8.81,overcast clouds
641,Paamiut,GL,61.994,-49.6678,20.95,81,91,10.18,overcast clouds
642,Ponta Pora,BR,-22.5361,-55.7256,77.92,48,51,3.18,light rain
643,Menongue,AO,-14.6585,17.691,66.25,69,89,4.07,overcast clouds
644,Denpasar,ID,-8.65,115.2167,78.46,88,75,8.05,broken clouds
645,Zonguldak,TR,41.25,31.8333,44.92,73,100,5.39,overcast clouds
646,Dalvik,IS,65.9702,-18.5286,15.73,91,100,4.97,light snow
647,Bhakkar,PK,31.6253,71.0657,54.14,29,100,1.59,overcast clouds
648,Bandundu,CD,-3.3167,17.3667,72.73,88,34,2.19,light rain
649,Inirida,CO,3.8653,-67.9239,77.65,77,99,2.04,overcast clouds
650,Pulandian,CN,39.3953,121.9669,19.98,61,4,2.91,clear sky
651,Varadero,CU,23.1536,-81.2514,68.76,79,41,12.12,scattered clouds
652,Thunder Bay,CA,48.4001,-89.3168,22.98,86,100,2.3,overcast clouds
653,Marang,MY,5.2056,103.2059,80.96,79,100,7.9,overcast clouds
654,Port Shepstone,ZA,-30.7414,30.455,70.34,91,10,15.03,clear sky
